,cX,cY,topoSig
135,9,16,000000001000000000111111111000000000011111111000000000000111111000000000000011111000000000000000111000000000111111100000000000001110000000000000
136,9,14,000000000111100000000000000111110000000000000011111000000000000000111111000000000110000000000000000111111100000000000111111110
137,9,14,000000001000000000111100000000000000111110000000000000011111000000000000000111111000000000110000000000000000111111100000000000
138,11,16,00000000000100000000000000000000011110000011000000000001111100000000000000000001111111110000000000011100000111000000000000000000000100000000000000000011110000000000000111100000
139,11,16,00011111111000000000001000000000000000000000111110000110000000000011111100000000000000000011111111100000000000111100001110000000000000000000001000000000000000000111100000000000
140,16,20,00000001110000000000000000000000111110000000000000000000000000001111110000001111000000000000000011110000000000000000000000000000100000000000000000000000000000001111111100000000000000000000000011111111100000110000000000000000000000000000000100000000000000000011111111100111000000000000000011100000000000110000000000000000
141,10,18,111111111100000000001111111111000000000000011111110000000000011111111100000000001111100111000000000000000000010000000000001111110000000000000000111111000000000000000011110000000000
142,11,19,00000000000111111111110000000000000001111111000000000001000000011100000000000111111000110000000000011111000000000000000000011111111100000000000111111111100000000000000000001111000000000001110000000000000000000
143,13,20,11111111100000000000000000100000000000000000000000000000000000001000000000000000000011110000000000000000111100000000000000000000000000000111111000000000000000011111000000000000000000111111111111100000000000000000011111111000000000000000111111111000000000000000
144,10,15,000000000000000001110000000000001111111100000000000000001111000000000011111000000000000000111011110000000000001111111110000000000010000000000000000000
145,10,15,000000000000000001110000000000001111111100000000000000001111000000000011111000000000000000111011110000000000001111111110000000000010000000000000000000
146,10,14,00000000000000001111000000000011111000000000000000111011100000000000001111111100000000000010000000000000000000011111111100000000001100000001
147,9,14,001111111000000000000000111000000000111110000000000000111011100000000000111111110000000000100000000000000000011111111000000000
148,12,16,000000000000000011111100000000000000111000000000000000000000000000000001000000000000101110000000000000000000111111000111000000000000000000001111000000000000111111111111000000000000000000011111
149,12,16,111111111100000000000000000011111000000000000000111000000000000000000000000000000001000000000000101110000000000000000000111111001111000000000000000000011111000000000000111111111111000000000000
150,13,16,0000000000000111111111111100000000000001111111111110000000000000001000000011110000000000000111110111111100000000000001111111000000000000000000011101111111000000000000000111111110000000000000000000000000000111
151,12,15,000000000000111111111111000000000000111111111110000000000000010000000111000000000000111110111111000000000000111111100000000000000000111011111100000000000000111111110000000000000000
152,8,16,00000000000001110000000011110000000000001111110000000000111000000000000001111111000000001111111100000000000000010000000011000000
153,12,20,111111111100000000000000111111111111000000000000000011111111000000000000100000001111000000000000111111000111000000000000111110000000000000000000001111111111000000000000111111111110000000000000000000011111000000000000111000000000000000000000
154,11,18,000000000001111111111000000000000000000001110000000000011100000000000000000001100011110000000000000111100000000000000000011111100000000000000001111111111100000000000011111100000000000000011111111111
155,12,18,011111111111000000000000111111111110000000000000000000000111000000000000111100000000000000000000111000111100000000000000111110000000000000000000111111100000000000000000111111111111000000000000001111110000000000000000
156,10,14,00000000001111110111000000000000001111110000000000011110000000000000001100000000000000000011111111100000000000111000000000000000001111111100
157,10,14,11111111000000000000111111011100000000000000111111000000000001111000000000000000110000000000000000001111111110000000000011100000000000000000
158,12,20,000000000000111111100000000000000000111000000000000000000000111111111111000000000000111100000001000000000000111111000000000000000000111111111011000000000000000000001111000000000000111111111111000000000000001110000000000000000000011111111111
159,12,20,111111111000000000000000111111000000000000000000110000000000000000000000111111111111000000000000111000000001000000000000111110000000000000000000111111110011000000000000000000011111000000000000111111111111000000000000011100000000000000000000
160,15,18,000000000000000000111111100000000000000000000111111111111100000000000000000111111100000001000000000000000001111111111000000000000000000100000000111111000000000000000111111000000000000000000000000000011111110000000000000000000111110000000000000000000000000000000001111111
161,9,16,000000000111110011000000000111111111000000000110000000000000000000111111000000000000000111000000000111111110000000000111100000000000000011111111
162,11,16,11000011111000000000000000111111100000000000000000000010000000000000000111111000000000001000000011100000000000111111100000000000000011111111100000000000000001111111100000000000
163,13,20,00000000000001111111100000000000000000011111111111000000000000000111111111111100000000000000011111111110000000000000000000011111110000000000000000000000111100000000000001111011111111000000000000000011111111110000000000000100000011111100000000000000000000000111
164,13,20,00011111111110000000000000111111111000000000000000001111111111100000000000000011111111111110000000000000001111111111000000000000000000000111111000000000000000000000001110000000000000111110111111100000000000000000111111111000000000000010000000111110000000000000
165,12,18,000000000000111111111001000000000000111000000000000000000000000000011111000000000000111110000000000000000000111111000000000000000000110000000000000000000000111100000000000000000000111111111100000000000000100000001111
166,12,18,100000011111000000000000111111111001000000000000111000000000000000000000000000001111000000000000111110000000000000000000111111000000000000000000110000000000000000000000111100000000000000000000111111111100000000000000
167,12,18,000000000000000111111111000000000000000000001111000000000000000000000011000000000000111110111111000000000000100011111111000000000000110000000111000000000000000000000001000000000000111111100000000000000000111111111111
168,13,18,001111111111100000000000000000111111111000000000000000000000011110000000000000000000000001100000000000001111110111111000000000000010000111111110000000000000111000000011100000000000000000000000001000000000000011111111000000000000000000
169,13,20,00000000000000000000000111000000000000011111111000000000000000000111111111000000000000000001110000000000000000000000011111000000000000000000000111111111111000000000000001000000000011000000000000000001111111110000000000000000000011111100000000000000011110000000
170,12,20,111000000000000000000000000000000111000000000000111111100000000000000000111111110000000000000000110000000000000000000000111110000000000000000000111111111110000000000000100000000011000000000000000011111111000000000000000000111111000000000000
171,9,16,000000000000111111000000000000000001000000000000011111000000000100000111000000000111110000000000000111111100000000000001111111000000000111111111
172,9,16,111111110000000000111100111000000000111111111000000000100000000000000000001111111000000000000001111000000000111111100000000000111000000000000000
173,15,18,000000000000000111111111111000000000000000000111111100111111000000000000000111111110011111000000000000000000111111111111000000000000000111101111110000000000000000000111111111111110000000000000000001111111111100000000000000000100000000000000000000000000000111111000000000
174,14,18,111111100111110000000000000011111111111000000000000000001111110011111100000000000000111111100111110000000000000000011111111111000000000000001111011111000000000000000000111111111111100000000000000000111111111100000000000000001000000000000000000000000000
175,10,18,000000000011100000000000000000111100000000000000000000000011000000000000111111110000000000100000011100000000001111100000000000000000000000010000000000111111111100000000000000001111
176,11,18,001111110000000000000011110000000000000000001111100000000000000000000000000110000000000000011111111000000000001000000111100000000000111111000000000000000000000000001000000000001111111111100000000000
177,13,20,00000000000000000000000001000000000000000000001111110000000000000011111111111100000000000001110000000000000000000000011111100011110000000000000000011111111100000000000000011111111111000000000000000000000001110000000000000111111110000000000000000001111100000011
178,12,20,100000000000000000000000000000000001000000000000000000011111000000000000001111111111000000000000111100000000000000000000111111000111000000000000000001111111000000000000000111111111000000000000000000000011000000000000111111110000000000000000
179,11,16,00000000000111100000000000000000011111111111000000000000000011111100000000000000000001110000000000000111100000000000000001111111110100000000000011000000000000000000011111110000
180,12,16,110000011111000000000000111110000000000000000000111111111111000000000000000000111111000000000000000000000111000000000000000111110000000000000000111111111101000000000000011100000000000000000000
181,15,18,000000000000001000000000000000111111111001111000000000000000000011111100111000000000000000000001111111111000000000000000000000001111111000000000000000100000011111100000000000000000000000111111111000000000000000000111111111111000000000000000001111111111111000000000000000
182,11,18,000000000001111111111100000000000000000001110000000000011111011110000000000001111111000000000000000011000000000000000000000111111111000000000000000111111100000000000000000000110000000000011111111111
183,12,18,111111000000000000000000111111111111000000000000000000000111000000000000111110011110000000000000111111110000000000000000011000000000000000000000001111111111000000000000000011111111000000000000000000000011000000000000
184,13,16,0000000000000111110000111100000000000000011111100110000000000000001111111111110000000000000000000111111100000000000001111111000000000000000000011111111111000000000000000111110000000000000000000001110111111000
185,12,16,001111111111000000000000111100001111000000000000000111100110000000000000011111111111000000000000000001111111000000000000111111000000000000000000111111111100000000000000111100000000000000000000
